Row	Description	Part	References	Value	Footprint	Quantity Per PCB	Status	Datasheet	Field5	Field4	Field6	Field7	Part Description	Field8	Supplier	Notes	Digikey	Mouser
13	Schottky diode, small symbol	D_Schottky_Small	D5 D8	SS34HF	D_SMA	2	 	https://www.comchiptech.com/admin/files/product/20190514101641.pdf							https://www.digikey.ch/de/products/detail/comchip-technology/SS34-HF/10279693	40V/3A		
14	Resettable fuse, polymeric positive temperature coefficient	Polyfuse	F1	Polyfuse 1.8A	Fuse_1812_4532Metric	1	 	https://www.littelfuse.com/~/media/electronics/datasheets/resettable_ptcs/littelfuse_ptc_1812l_datasheet.pdf.pdf							https://www.digikey.ch/de/products/detail/littelfuse-inc/1812L150-24MR/2023969			
15	DC Barrel Jack with an internal switch	Barrel_Jack_Switch	J6	Barrel_Jack_MountingPin	BarrelJack_Wuerth_6941xx301002	1	 	https://www.we-online.com/components/products/datasheet/6941xx301002.pdf							https://www.digikey.ch/de/products/detail/w%C3%BCrth-elektronik/694106301002/5047522			
16	Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)	Conn_01x02	J11	Conn_01x02	PinHeader_1x02_P2.54mm_Vertical	1	 	~										
17	Sound Card (Based on HifiBerry DAC/ADC pro)	Raspberry_Sound_Card	J25	HiFi Berry	HiFi Berry DAC ADC+	1	 											
18	Generic connector, single row, 01x03, script generated	Conn_01x03_Pin	J26	JST XH 3	JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical	1	 	https://app.adam-tech.com/products/download/data_sheet/240508/25sh-b-xx-ts-data-sheet.pdf							https://www.digikey.ch/de/products/detail/adam-tech/25SH-B-03-TS/9830417	RGB_LED_EXT		
19	Audio Jack, 3 Poles (Stereo / TRS), Switched TR Poles (Normalling)	AudioJack3_SwitchTR	J2 J4	Jack 3.5mm	Jack_3.5mm_CUI_SJ1-3525N_Horizontal	2	 	https://www.cuidevices.com/product/resource/sj1-352xng.pdf							https://www.digikey.ch/de/products/detail/cui-devices/SJ1-3525NG/738690	MIDI Out		
20	M Series, 6.35mm (1/4in) stereo jack, switched, with chrome ferrule and straight PCB pins	NMJ6HCD2	J7 J9 J16 J17 J18 J20	Jack 6.35mm	Jack_6.35mm_Horizontal	6	 	https://www.schurter.com/en/datasheet/typ_4833.2320.pdf							https://www.digikey.ch/de/products/detail/schurter-inc/4833-2320/2644235	EXP1 EXP2 Audio IN Right Audio OUT Right Audio OUT Left Audio IN Left		
21	Generic connector, double row, 02x02, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)	Conn_02x02_Odd_Even	J8 J13 J14 J19 J21 J22	LED-Ring	Led-Ring	6	 	~										
22	Vertical USB B Micro Connector	USB_B_Micro-Connector	J10	USB_B_Micro	USB_Micro-B_Wuerth_614105150721_Vertical	1	 	https://www.we-online.com/components/products/datasheet/614105150721.pdf							https://www.digikey.ch/de/products/detail/w%C3%BCrth-elektronik/614105150721/5047749			
23	Inductor with ferrite core	L_Ferrite	L1 L2 L3 L4	120_100MHz	L_0603_1608Metric	4	 	https://www.murata.com/products/productdata/8796738650142/ENFA0003.pdf							https://www.digikey.ch/de/products/detail/murata-electronics/BLM18KG121TN1D/1982762			
24	Inductor symbol for simulation only	INDUCTOR	L6	SRN6045TA-3R3Y	L_Bourns_SRN6045TA	1	 	https://www.bourns.com/docs/Product-Datasheets/SRN6045TA.pdf	2616889	Farnell	SRN6045TA-3R3Y	Bourns	3.3µH Semi-Shielded Wirewound Inductor 7.8A 21mOhm Nonstandard					
25	P-Channel MOSFET	FDS4435BZ	Q1	FDS4435BZ	SO08-E3	1	 	https://www.onsemi.com/pdf/datasheet/fds4435bz_f085-d.pdf							https://www.digikey.ch/de/products/detail/onsemi/FDS4435BZ/1305763			
26	Resistor, small symbol	R_Small	R2 R17	10R	R_0805_2012Metric	2	 	https://www.seielect.com/catalog/sei-rncp.pdf	9238999	Farnell	RC0402FR-0710RL	Yageo	Resistor 10R M1005 1% 63mW	URES00256	https://www.digikey.ch/de/products/detail/stackpole-electronics-inc/RNCP0805FTD10R0/2240197			
27	Resistor, small symbol	R_Small	R7 R9	27R	R_0805_2012Metric	2	 	https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf							https://www.digikey.ch/de/products/detail/stackpole-electronics-inc/RMCF0805FT27R0/1712920			
28	Resistor, small symbol	R_Small	R1	33R	R_0805_2012Metric	1	 	https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf							https://www.digikey.ch/de/products/detail/stackpole-electronics-inc/RMCF0805FT33R0/1760586			
29	Resistor, small symbol	R_Small	R3 R6	220R	R_0805_2012Metric	2	 	https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf							https://www.digikey.ch/de/products/detail/stackpole-electronics-inc/RMCF0805FT220R/1760238			
30	Resistor, small symbol	R_Small	R4 R5 R8 R11 R15 R16	1K	R_0805_2012Metric	6	 	https://www.seielect.com/catalog/sei-rncp.pdf							https://www.digikey.ch/de/products/detail/stackpole-electronics-inc/RNCP0805FTD1K00/2240229			
31	Resistor	R	R20	2.2K 1%	R_0805_2012Metric	1	 	https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/mcr-e.pdf	9239278	Farnell	RK73G1ETQTP2201D	KOA EUROPE GMBH	Resistor 2.2K M1005 1% 63mW	120889581				
32	Resistor	R	R19	12K 1%	R_0805_2012Metric	1	 	https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/mcr-e.pdf	9239367	Farnell	MCR01MZPF1202	Rohm	Resistor 12K M1005 1% 63mW					
33	Resistor	R	R18	20K 1%	R_0805_2012Metric	1	 	https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/mcr-e.pdf	2331485	Farnell	RK73H1ETTP2002F	KOA EUROPE GMBH	Resistor 20K M1005 1% 63mW					
34	Rotary encoder, dual channel, incremental quadrate outputs, with switch	RotaryEncoder_Switch	SW1 SW2	Rotary	RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_CircularMountingHoles	2	 	https://www.we-online.com/components/products/datasheet/482016514001.pdf							https://www.digikey.ch/de/products/detail/w%C3%BCrth-elektronik/482016514001/10056402	VOL GAIN		
35	Omron B3FS 6x6mm single pole normally-open tactile switch	SW_Omron_B3FS	SW3 SW4 SW5 SW6 SW7 SW8	Tactile	SW_PUSH-12mm_Wuerth	6	 	https://www.we-online.com/components/products/datasheet/430172043816.pdf							https://www.digikey.ch/de/products/detail/w%C3%BCrth-elektronik/430162043826/9950802	D E F A B C		
36	Single OR Gage	74AHCT1G32SE-7	U2 U7	74AHCT1G32SE-7	SOT-353_SC-70-5	2	 	https://www.diodes.com/assets/Datasheets/74AHCT1G32.pdf							https://www.digikey.ch/de/products/detail/diodes-incorporated/74AHCT1G32SE-7/2711987			
